C,Tick,D,O,H,L,A,V
1.496,1761494400,2025-10-27 00:00:00,1.485,1.511,1.458,633620700,4261534
1.449,1761235200,2025-10-24 00:00:00,1.449,1.449,1.449,529535600,3708895
1.386,1761148800,2025-10-23 00:00:00,1.376,1.389,1.362,308774800,2246011
1.386,1761062400,2025-10-22 00:00:00,1.383,1.407,1.366,362971100,2623535
1.394,1760976000,2025-10-21 00:00:00,1.371,1.4,1.369,577546400,4155016
1.365,1760889600,2025-10-20 00:00:00,1.392,1.402,1.354,447651100,3243373
1.366,1760630400,2025-10-17 00:00:00,1.42,1.424,1.364,954650900,6913029
1.426,1760544000,2025-10-16 00:00:00,1.445,1.462,1.423,507923700,3528383
1.446,1760457600,2025-10-15 00:00:00,1.434,1.457,1.416,734291100,5101130
1.454,1760371200,2025-10-14 00:00:00,1.58,1.58,1.442,1229805000,8194132
1.561,1760284800,2025-10-13 00:00:00,1.424,1.562,1.424,786248300,5196172
1.504,1760025600,2025-10-10 00:00:00,1.531,1.556,1.487,866613800,5713812
1.56,1759939200,2025-10-09 00:00:00,1.531,1.63,1.518,928811900,5905696
1.518,1759161600,2025-09-30 00:00:00,1.516,1.548,1.497,815301300,5359849
1.511,1759075200,2025-09-29 00:00:00,1.476,1.512,1.456,750200800,5068591
1.476,1758816000,2025-09-26 00:00:00,1.471,1.519,1.462,947391000,6356231
1.476,1758729600,2025-09-25 00:00:00,1.464,1.485,1.447,609835400,4148353
1.482,1758643200,2025-09-24 00:00:00,1.373,1.6,1.359,593202900,4065169
1.369,1758556800,2025-09-23 00:00:00,1.311,1.371,1.286,268969200,2032370
1.308,1758470400,2025-09-22 00:00:00,1.292,1.315,1.28,198971100,1533910
1.295,1758211200,2025-09-19 00:00:00,1.32,1.332,1.284,259929500,1982153
1.306,1758124800,2025-09-18 00:00:00,1.258,1.346,1.252,319556400,2452097
1.254,1758038400,2025-09-17 00:00:00,1.21,1.263,1.199,275219500,2218231
1.21,1757952000,2025-09-16 00:00:00,1.205,1.22,1.195,105169300,871412
1.206,1757865600,2025-09-15 00:00:00,1.234,1.24,1.196,114286400,941790
1.201,1757606400,2025-09-12 00:00:00,1.195,1.226,1.189,111236900,917911
1.197,1757520000,2025-09-11 00:00:00,1.14,1.201,1.133,135315500,1150513
1.148,1757433600,2025-09-10 00:00:00,1.144,1.161,1.139,91057980,790980
1.146,1757347200,2025-09-09 00:00:00,1.174,1.175,1.141,105662600,915134
1.187,1757260800,2025-09-08 00:00:00,1.16,1.19,1.149,77023780,658472
1.17,1757001600,2025-09-05 00:00:00,1.131,1.173,1.129,91873780,798247
1.131,1756915200,2025-09-04 00:00:00,1.2,1.209,1.11,126352300,1093203
1.21,1756828800,2025-09-03 00:00:00,1.215,1.239,1.202,105417400,864468
1.213,1756742400,2025-09-02 00:00:00,1.257,1.265,1.203,136814100,1113697
1.261,1756656000,2025-09-01 00:00:00,1.247,1.269,1.231,122526800,979412
1.229,1756396800,2025-08-29 00:00:00,1.268,1.268,1.211,160883200,1316245
1.263,1756310400,2025-08-28 00:00:00,1.197,1.264,1.193,136367700,1108918
1.2,1756224000,2025-08-27 00:00:00,1.22,1.266,1.199,143331000,1166757
1.219,1756137600,2025-08-26 00:00:00,1.21,1.238,1.192,100413500,823905
1.216,1756051200,2025-08-25 00:00:00,1.238,1.268,1.19,159935600,1311175
1.22,1755792000,2025-08-22 00:00:00,1.14,1.228,1.14,120425600,1017525
1.14,1755705600,2025-08-21 00:00:00,1.147,1.154,1.13,80612940,706291
1.148,1755619200,2025-08-20 00:00:00,1.098,1.149,1.088,172590800,1552590
1.104,1755532800,2025-08-19 00:00:00,1.13,1.133,1.101,118913700,1070354
1.128,1755446400,2025-08-18 00:00:00,1.103,1.136,1.094,88040500,789699
1.097,1755187200,2025-08-15 00:00:00,1.064,1.098,1.063,68607200,633833
1.072,1755100800,2025-08-14 00:00:00,1.088,1.106,1.07,71039550,653430
1.088,1755014400,2025-08-13 00:00:00,1.072,1.093,1.069,75425720,695058
1.07,1754928000,2025-08-12 00:00:00,1.061,1.076,1.052,62817140,590989
1.06,1754841600,2025-08-11 00:00:00,1.06,1.067,1.053,39688340,374639
1.057,1754582400,2025-08-08 00:00:00,1.071,1.071,1.055,44666750,420970
1.071,1754496000,2025-08-07 00:00:00,1.071,1.085,1.063,72003220,671143
1.071,1754409600,2025-08-06 00:00:00,1.068,1.071,1.06,37118000,348124
1.068,1754323200,2025-08-05 00:00:00,1.068,1.069,1.057,39299060,369733
1.063,1754236800,2025-08-04 00:00:00,1.051,1.064,1.047,39745840,376405
1.053,1753977600,2025-08-01 00:00:00,1.062,1.071,1.046,44084010,416940
1.062,1753891200,2025-07-31 00:00:00,1.083,1.089,1.059,64764740,602664
1.084,1753804800,2025-07-30 00:00:00,1.1,1.101,1.074,53859490,494364
1.1,1753718400,2025-07-29 00:00:00,1.081,1.101,1.074,57395280,526642
1.08,1753632000,2025-07-28 00:00:00,1.089,1.091,1.078,51158490,472422
1.089,1753372800,2025-07-25 00:00:00,1.077,1.09,1.068,68227180,633473
1.077,1753286400,2025-07-24 00:00:00,1.063,1.079,1.058,172780700,1609140
1.061,1753200000,2025-07-23 00:00:00,1.035,1.064,1.028,85756950,814871
1.031,1753113600,2025-07-22 00:00:00,1.02,1.037,1.016,53433410,519681
1.02,1753027200,2025-07-21 00:00:00,1.018,1.022,1.014,27350000,268742
1.022,1752768000,2025-07-18 00:00:00,1.019,1.029,1.015,39815070,389889
1.014,1752681600,2025-07-17 00:00:00,1.007,1.014,1.001,32642950,324038
1.012,1752595200,2025-07-16 00:00:00,1.009,1.022,1.009,33918060,334063
1.012,1752508800,2025-07-15 00:00:00,1.019,1.026,1.006,39616580,390920
1.021,1752422400,2025-07-14 00:00:00,1.026,1.03,1.018,29689510,290395
1.028,1752163200,2025-07-11 00:00:00,1.019,1.03,1.013,40053280,391519
1.019,1752076800,2025-07-10 00:00:00,1.024,1.025,1.015,33663860,330614
1.022,1751990400,2025-07-09 00:00:00,1.028,1.031,1.019,28716900,280383
1.028,1751904000,2025-07-08 00:00:00,1.024,1.032,1.022,38091390,371060
1.019,1751817600,2025-07-07 00:00:00,1.009,1.03,1.009,37963500,370541
1.017,1751558400,2025-07-04 00:00:00,1.009,1.038,0.995,61007100,601715
1.008,1751472000,2025-07-03 00:00:00,1.018,1.019,1.004,37739000,374577
1.012,1751385600,2025-07-02 00:00:00,1.036,1.036,1.007,46651430,458732
1.036,1751299200,2025-07-01 00:00:00,1.035,1.042,1.025,54989950,531419
1.028,1751212800,2025-06-30 00:00:00,1.017,1.031,1.017,51229160,500214
1.011,1750953600,2025-06-27 00:00:00,1.022,1.024,1.004,60266120,595466
1.003,1750867200,2025-06-26 00:00:00,1.015,1.019,1.002,40596270,401589
1.015,1750780800,2025-06-25 00:00:00,1.007,1.015,0.996,47439360,471456
1.007,1750694400,2025-06-24 00:00:00,1.0,1.008,0.992,42425390,423857
1.0,1750608000,2025-06-23 00:00:00,0.97,1.01,0.967,66188200,662691
0.977,1750348800,2025-06-20 00:00:00,0.975,0.986,0.975,33347180,339898
0.975,1750262400,2025-06-19 00:00:00,0.971,0.981,0.962,41593600,427471
0.966,1750176000,2025-06-18 00:00:00,0.947,0.972,0.947,41902600,436198
0.949,1750089600,2025-06-17 00:00:00,0.956,0.957,0.945,26375600,278142
0.956,1750003200,2025-06-16 00:00:00,0.956,0.958,0.951,24030920,252111
0.958,1749744000,2025-06-13 00:00:00,0.95,0.962,0.947,27270770,285354
0.95,1749657600,2025-06-12 00:00:00,0.961,0.961,0.948,26534758,278400
0.961,1749571200,2025-06-11 00:00:00,0.957,0.973,0.956,25108644,259859
0.958,1749484800,2025-06-10 00:00:00,0.985,0.985,0.954,32628536,337632
0.983,1749398400,2025-06-09 00:00:00,0.979,0.984,0.975,26563534,270995
0.98,1749139200,2025-06-06 00:00:00,0.977,0.984,0.972,22635736,231769
0.979,1749052800,2025-06-05 00:00:00,0.969,0.98,0.963,26625076,274736
0.968,1748966400,2025-06-04 00:00:00,0.973,0.973,0.965,23888672,246873
0.975,1748880000,2025-06-03 00:00:00,0.948,0.98,0.948,34028624,350108
0.955,1748534400,2025-05-30 00:00:00,0.964,0.964,0.952,24605628,256638
0.968,1748448000,2025-05-29 00:00:00,0.949,0.97,0.947,31592012,328747
0.949,1748361600,2025-05-28 00:00:00,0.958,0.962,0.945,29034238,305054
0.958,1748275200,2025-05-27 00:00:00,0.961,0.962,0.952,20426588,213631
0.962,1748188800,2025-05-26 00:00:00,0.959,0.966,0.956,25269276,262770
0.953,1747929600,2025-05-23 00:00:00,0.966,0.968,0.952,32613540,339899
0.965,1747843200,2025-05-22 00:00:00,0.971,0.98,0.963,26722288,275629
0.971,1747756800,2025-05-21 00:00:00,0.979,0.984,0.968,24655380,253270
0.976,1747670400,2025-05-20 00:00:00,0.978,0.981,0.971,22362348,228787
0.977,1747584000,2025-05-19 00:00:00,0.965,0.979,0.965,23987492,246631
0.965,1747324800,2025-05-16 00:00:00,0.974,0.976,0.965,24270946,250339
0.972,1747238400,2025-05-15 00:00:00,0.988,0.988,0.97,30496344,312839
0.988,1747152000,2025-05-14 00:00:00,0.985,0.994,0.98,24057412,244241
0.984,1747065600,2025-05-13 00:00:00,1.001,1.001,0.982,19350544,195871
0.989,1746979200,2025-05-12 00:00:00,0.984,0.994,0.981,15710829,159399
0.984,1746720000,2025-05-09 00:00:00,1.013,1.013,0.982,30012912,303360
1.012,1746633600,2025-05-08 00:00:00,1.009,1.016,1.0,19835782,196658
1.01,1746547200,2025-05-07 00:00:00,1.019,1.029,1.002,38469464,378987
1.012,1746460800,2025-05-06 00:00:00,0.986,1.012,0.986,45082476,448874
0.986,1745942400,2025-04-30 00:00:00,0.993,0.993,0.981,16702652,169129
0.993,1745856000,2025-04-29 00:00:00,0.985,0.994,0.979,15829035,160374
0.985,1745769600,2025-04-28 00:00:00,0.987,0.994,0.983,12121120,122639
0.988,1745510400,2025-04-25 00:00:00,0.981,0.991,0.965,21057040,214260
0.981,1745424000,2025-04-24 00:00:00,1.006,1.006,0.979,19780950,201263
0.997,1745337600,2025-04-23 00:00:00,1.008,1.015,0.992,11272680,113086
1.004,1745251200,2025-04-22 00:00:00,0.996,1.012,0.988,21397130,212905
0.991,1745164800,2025-04-21 00:00:00,0.985,0.997,0.981,6487400,65402
0.986,1744905600,2025-04-18 00:00:00,1.0,1.0,0.982,12862340,130429
1.001,1744819200,2025-04-17 00:00:00,0.994,1.013,0.992,21376430,212757
0.997,1744732800,2025-04-16 00:00:00,0.996,1.007,0.983,7459551,75152
1.0,1744646400,2025-04-15 00:00:00,1.01,1.01,0.99,19159200,192498
1.012,1744560000,2025-04-14 00:00:00,1.029,1.029,0.99,47336800,465960
1.018,1744300800,2025-04-11 00:00:00,0.98,1.035,0.978,278249400,2736012
0.992,1744214400,2025-04-10 00:00:00,0.997,1.005,0.98,28424700,286281
0.972,1744128000,2025-04-09 00:00:00,0.895,0.994,0.895,27373700,284011
0.933,1744041600,2025-04-08 00:00:00,0.922,0.958,0.901,19771530,212054
0.923,1743955200,2025-04-07 00:00:00,0.923,0.923,0.923,0,0
