C,Tick,D,O,H,L,A,V
1.367,1764604800,2025-12-02 00:00:00,1.38,1.384,1.358,293888900,2145565
1.386,1764518400,2025-12-01 00:00:00,1.383,1.388,1.36,347775200,2531096
1.383,1764259200,2025-11-28 00:00:00,1.329,1.391,1.328,540880600,3943110
1.338,1764172800,2025-11-27 00:00:00,1.349,1.378,1.335,366248800,2691769
1.348,1764086400,2025-11-26 00:00:00,1.332,1.365,1.324,355775200,2640819
1.34,1764000000,2025-11-25 00:00:00,1.351,1.361,1.335,419369800,3112104
1.335,1763913600,2025-11-24 00:00:00,1.323,1.348,1.314,378849600,2852883
1.323,1763654400,2025-11-21 00:00:00,1.354,1.374,1.322,421700300,3136338
1.386,1763568000,2025-11-20 00:00:00,1.43,1.436,1.383,397466200,2837017
1.418,1763481600,2025-11-19 00:00:00,1.428,1.445,1.408,320882400,2247072
1.431,1763395200,2025-11-18 00:00:00,1.401,1.466,1.401,478591600,3331299
1.412,1763308800,2025-11-17 00:00:00,1.433,1.464,1.405,338297700,2372341
1.432,1763049600,2025-11-14 00:00:00,1.44,1.478,1.42,349244800,2411576
1.462,1762963200,2025-11-13 00:00:00,1.458,1.481,1.446,339990600,2324205
1.458,1762876800,2025-11-12 00:00:00,1.449,1.485,1.429,413819000,2843323
1.469,1762790400,2025-11-11 00:00:00,1.508,1.532,1.468,554305500,3684297
1.49,1762704000,2025-11-10 00:00:00,1.475,1.523,1.468,572047600,3817653
1.465,1762444800,2025-11-07 00:00:00,1.441,1.485,1.435,425034200,2904090
1.457,1762358400,2025-11-06 00:00:00,1.421,1.465,1.412,498561200,3458407
1.409,1762272000,2025-11-05 00:00:00,1.373,1.418,1.372,330548100,2369251
1.411,1762185600,2025-11-04 00:00:00,1.394,1.436,1.392,484796600,3424682
1.393,1762099200,2025-11-03 00:00:00,1.39,1.4,1.348,475261400,3459115
1.412,1761840000,2025-10-31 00:00:00,1.462,1.466,1.408,604825700,4236903
1.477,1761753600,2025-10-30 00:00:00,1.495,1.516,1.476,400422700,2678942
1.5,1761667200,2025-10-29 00:00:00,1.496,1.51,1.469,468180700,3140283
1.5,1761580800,2025-10-28 00:00:00,1.479,1.519,1.469,539778400,3594938
